VehicleId,LoadCap,FuelCap,RouteSequence,Municipalities,DemandSatisfied,InitialLoad,InitialFuel,Distance,Time,TotalCost
V001,130,5.666666666666667,CD01-C003-C021-C020-C005-CD01,4,12-14-15-20,61,2.785306666666666,83.55919999999999,126.33500000000001,45400.49866666667
V002,140,6.666666666666667,CD01-C024-C011-C004-C015-C007-C014-C023-CD01,7,11-17-15-17-17-15-15,107,3.1820766666666667,95.4623,140.01333333333332,51867.84966666667
V003,120,6.0,CD01-C012-C018-C022-C013-CD01,4,12-12-18-21,63,2.1999733333333333,65.9992,99.95833333333334,35859.56533333334
V004,100,3.0,CD01-C019-C010-C017-C006-CD01,4,11-15-25-17,68,2.6066599999999998,78.1998,124.48333333333335,42488.558
V005,70,3.3333333333333335,CD01-C009-C008-CD01,2,20-20,40,1.9978866666666666,59.9366,98.63333333333334,32565.552666666666
V006,55,5.666666666666667,CD01-CD01,0,0,0,0.0,0.0,0.0,0.0
V007,110,5.0,CD01-CD01,0,0,0,0.0,0.0,0.0,0.0
V008,114,4.666666666666667,CD01-C001-C016-C002-CD01,3,13-10-15,38,2.47278,74.1834,108.30333333333334,40306.314000000006
