VehicleId,LoadCap,FuelCap,RouteSequence,Municipalities,DemandSatisfied,InitialLoad,InitialFuel,Distance,Time,TotalCost
V001,130,5.666666666666667,CD01-C022-C015-C004-C001-C024-C016-C010-CD01,7,18-17-15-13-11-10-15,99,1.4567166666666667,43.7015,71.27333333333333,23744.48166666667
V002,140,6.666666666666667,CD01-C018-C005-C008-C011-C009-C017-CD01,6,12-20-20-17-20-25,114,1.6356133333333331,49.0684,83.02333333333334,26660.497333333333
V003,120,6.0,CD01-C019-CD01,1,11,11,0.7094,21.282,31.311666666666667,11563.220000000001
V004,100,3.0,CD01-CD01,0,0,0,0.0,0.0,0.0,0.0
V005,70,3.3333333333333335,CD01-C001-CD01,1,13,13,0.9050166666666667,27.1505,40.693333333333335,14751.771666666667
V006,55,5.666666666666667,CD01-CD01,0,0,0,0.0,0.0,0.0,0.0
V007,110,5.0,CD01-C007-C024-CD01,2,17-11,28,1.5154566666666667,45.4637,66.10166666666666,24701.94366666667
V008,114,4.666666666666667,CD01-C019-C007-C021-CD01,3,11-17-14,42,1.1806833333333333,35.4205,52.87833333333334,19245.138333333332
